time[s],xPos[m],yPos[m],zPos[m],speed[m/s],speed protern[m/s],acceleration[m/s^2],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],aCourse[m/s^2],aCentripetal[m/s^2],Ekin[J],Epot [J],Pkin[W],Ppot[W],Curvature
14.5,132.649786995367,126.128316500363,1689.09,14.6303844484809,14.3777777777778,8.58124534247839,3.82246834929187,13.5745653917063,-3.8946192696208,6.91141016797699,-4.44223725437091,2.47723823918302,-2.97536222741908,8.15274312666042,8651.56369586341,24440.0074405589,-2714.1432329651,-3274.50711721894,0.0376032797273899
14.6,133.00194952957,127.495997669756,1688.65,14.2772100722602,14.4444444444444,10.2055507391934,4.75670832119065,12.9569126617878,-3.65114607614734,8.43964536216899,-4.99966365458244,2.81585074038323,-2.44560079971224,9.88283524935905,8238.32338510913,24145.9178181813,-2602.71265221934,-3084.79562619198,0.0486080041573854
14.7,133.430678688504,128.785842380178,1688.24,14.048558094945,14.4055555555556,9.90735441211968,5.58658088435564,12.3700538643522,-3.62406759906929,8.31933525733036,-5.08738957211291,1.75008561648965,-1.62273395896429,9.68709468095774,7908.91823308796,23869.4267412584,-2318.05751255107,-2882.9879016086,0.0495209677079342
14.8,134.135049823183,129.997864346173,1688.01,13.9043042787174,14.3972222222222,8.82243635978683,6.3607221520078,11.8199989216367,-3.62746697746845,7.19857741521083,-5.08979357286408,0.331463279017133,-1.12019814162518,8.63577626931598,7710.77599445557,23565.6597482513,-2242.68752952511,-2785.56897615163,0.0452648081715054
14.9,134.870046050374,131.065330150048,1687.66,13.7819160597749,14.1805555555556,8.89079305309008,7.03151451945728,11.3314806699642,-3.47801087801192,6.58715983009029,-5.95895905766336,-0.382535534050566,-1.44215481743587,8.67500038157899,7617.28263380689,23285.6013986011,-2460.30606336183,-2784.37210295527,0.0461882342011983
15,135.620354913113,132.177275372816,1687.27,13.7446525002748,14.1527777777778,11.3823693655132,7.69067343762168,10.8984321076264,-3.31559829059985,7.53852290298782,-8.52442816652997,0.251255343766631,-2.60171332581421,11.1699925669267,7616.92359668883,23032.2518601395,-2595.63330603947,-2774.77686211226,0.0586560678614617
15.1,136.34769484172,133.244742631257,1686.88,13.3556683326651,14,15.9656173548675,8.21443291098213,9.90184458835217,-3.58475135975255,9.67799665561166,-12.6128942033919,1.46704399049879,-3.7924460722763,15.8527536945137,7083.67197466812,22749.5592167827,-2135.2970120942,-2669.28525241693,0.0869446378915256
15.2,137.151600421615,134.212135231947,1686.5,13.0419063111189,13.8166666666667,20.5472186211978,9.21082416000182,8.53123691391881,-3.53129370629503,11.6408427773991,-16.7225985774842,2.65210658071923,-3.43569878452087,20.5286891686982,6706.02317090149,22477.5135104891,-910.531415603702,-2485.38791204129,0.119100379779531
15.3,138.154584822301,135.079465400205,1686.35,12.9163059355286,13.6666666666667,22.7355173468558,10.6812340177437,6.58114017768463,-3.0709595959617,12.1212926055023,-18.9308881315136,3.40580227745115,-0.431667287718091,22.7329446048725,6630.22741568487,22220.0113006989,487.822568221383,-2268.53620812745,0.136254201206531
15.4,139.303042824758,135.646570114819,1685.98,13.1469939100126,13.3694444444444,20.7450370306731,12.140276757485,4.43622063789198,-2.4035547785561,10.3351916245021,-17.576017983584,3.82412961725309,2.91393517021546,20.7194113608508,6948.93325369779,22022.8051468528,1396.37060558287,-2024.86887313121,0.118832190812628
